name,screen_name,party,total_tweets,covid_tweets
"Müller, Alexander",alexmuellerfdp,FDP,361,34
"Reinhold, Hagen",reinholdmdb,FDP,847,127
"Skudelny, Judith",JudithSkudelny,FDP,236,42
"Dilcher, Esther",EstherDilcher,SPD,0,0
"Aggelidis, Grigorios",aggelidis_fdp,FDP,195,57
"Hollnagel, Dr. Bruno",DrHollnagel,AfD,44,22
"Wiehle, Wolfgang",WolfgangWiehle,AfD,376,149
"Heilmann, Prof. Thomas",ThomasHeilmann,CDU,169,10
"Hocker, Dr. Gero",GeroHocker,FDP,242,35
"Müller, Hansjörg Gerhard Georg",MdB_Mueller_AfD,AfD,112,41
"Müller-Rosentritt, Frank",theliberalfrank,FDP,265,42
"Neumann, Prof. Dr. Martin",_MartinNeumann,FDP,1014,222
"Rottmann, Dr. Manuela",ManuelaRottman,Bündnis 90/Die Grünen,1220,84
"Alt, Renata",RenataAlt_MdB,FDP,468,96
"Dassler, Britta",BrittaDassler,FDP,39,12
"Klein, Karsten",MdBKlein,FDP,260,76
"Westig, Nicole",NicoleWestig,FDP,100,32
"Völlers, Marja-Liisa",MarjaVoellers,SPD,304,36
"Herbrand, Markus",HerbrandMarkus,FDP,213,38
"Ihnen, Ulla",ullaihnen,FDP,91,10
"Kießling, Michael",Kiessling_MdB,CSU,10,2
"Lechte, Ulrich",ulrichlechte,FDP,265,62
"Ludwig, Daniela",DaniLudwigMdB,CSU,839,74
"Mohamed Ali, Amira",Amira_M_Ali,Die Linke,179,36
"Ploß, Dr. Christoph ",christophploss,CDU,469,99
"Schlund, Dr. Robby",DrRobbySchlund,AfD,0,0
"Röttgen, Dr. Norbert",n_roettgen,CDU,1589,188
"Sauter, Christian",Chr_Sauter,FDP,8,0
"Seestern-Pauly, Matthias",mseesternpauly,FDP,36,10
"Throm, Alexander",alexander_throm,CDU,96,11
"Malsack-Winkemann, Dr. Birgit",MalsackWinkeman,AfD,198,99
"Bauer, Nicole",nicole_ae_bauer,FDP,133,25
"Esdar, Wiebke",wiebkeesdar1,SPD,0,0
"Moll, Claudia",ClaudiaMollMdB,SPD,11,0
"Rachel, Thomas",_ThomasRachel,CDU,30,6
"Tatti, Jessica",jessica_tatti,Die Linke,6,0
"Ferschl, Susanne",SusanneFerschl,Die Linke,535,122
